Blend,Edition,Start Date,End Date,Coffee 1,Ratio,Price,Coffee One,Coffee 2,Ratio,Price,Coffee Two,Coffee 3,Ratio,Price,Coffee Three,Total price green (€/kg),Price wholesale
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
,,,,,,,,,,,,,,,,"€0,00",
